text,label
paid zomato,food
zomato order,food
swiggy delivery,food
restaurant bill,food
pizza order,food
burger purchase,food
food delivery,food
dinner bill,food
lunch at restaurant,food
dominos pizza,food
uber ride,travel
ola cab,travel
bus ticket,travel
train booking,travel
flight ticket,travel
cab payment,travel
metro recharge,travel
auto ride,travel
travel expense,travel
taxi fare,travel
zomato refund,food
uber eats order,food
train food order,food
flight meal,food
restaurant in airport,food
food during travel,food
hotel booking,travel
trip to restaurant,travel
travel for dinner,travel
cab to restaurant,travel
flight with meal,travel
train journey with food,travel
